Netid, Fid, DS_FF_xi_05_epsilon_e-5_c_5
1, 7, 0.9262456692217971
1, 12, 0.8265598436539354
1, 10, 1.6126418638117344
1, 4, 1.9251527802996444
1, 15, 0.6633280045467382
1, 1, 0.8265598436539354
1, 2, 0.8752064461240441
1, 16, 1.8599551904048124
1, 5, 1.6126418638117344
1, 11, 1.1234077560506817
1, 6, 0.8950383449855422
1, 14, 2.0440328084412607
1, 9, 2.7461073320884757
1, 13, 1.8615780284008168
1, 3, 1.1234077560506817
1, 8, 0.9262456692217971
1, 0, 0.6412560042556942
2, 13, 2.060420360494434
2, 29, 2.8099175525484954
2, 21, 2.4319923584130954
2, 12, 3.2492623449660094
2, 16, 1.6223309551358187
2, 0, 3.2492623449660094
2, 24, 3.55600437362108
2, 26, 3.40382798479813
2, 27, 1.171999061705013
2, 2, 4.633412237894849
2, 32, 3.6250303607256695
2, 25, 3.0232926215657754
2, 11, 2.203066098855642
2, 23, 2.2361619966768633
2, 1, 1.00233367563801
2, 8, 2.5890860770543638
2, 17, 1.91939662184903
2, 19, 1.647368863694214
2, 31, 1.5071236681984317
2, 28, 1.3072028827477529
2, 9, 3.395574679563533
2, 22, 3.8099621414073392
2, 30, 2.0998498852953222
2, 3, 3.40382798479813
2, 14, 2.282849664265784
2, 7, 1.4436085458465608
2, 5, 1.396602354582773
2, 10, 2.2225608270074693
2, 6, 4.061487538850572
2, 18, 2.2225608270074693
2, 4, 3.061681266425468
2, 15, 3.889304697407627
2, 20, 4.881999937239359
3, 173, 4.5137695764666175
3, 69, 4.726642129676121
3, 184, 7.08349609615182
3, 47, 7.73267114509115
3, 43, 5.355908593484385
3, 133, 8.334411198403677
3, 163, 0.7331811381801726
3, 77, 2.609699354902675
3, 25, 6.319294334759627
3, 87, 11.062319921821478
3, 177, 2.1633267456886487
3, 27, 4.75096208517684
3, 2, 1.4455154930847136
3, 23, 4.694268630820513
3, 182, 6.590967401064161
3, 152, 0.8686326538585614
3, 180, 5.845351679554353
3, 112, 7.073169158517151
3, 135, 17.621695760306455
3, 19, 4.5137695764666175
3, 160, 2.6015097669567377
3, 68, 5.861005155163589
3, 124, 6.729729944893042
3, 30, 5.16672267411899
3, 210, 5.795414036774182
3, 157, 5.224392683926139
3, 61, 10.43485314643918
3, 90, 7.965955916828891
3, 80, 6.882172195586406
3, 46, 5.339455800869917
3, 138, 11.213385162051605
3, 153, 2.28530522936958
3, 5, 15.09508450439167
3, 142, 3.9968486690157388
3, 38, 11.787083722208598
3, 193, 14.942793130853197
3, 106, 7.754425396165008
3, 178, 4.707216362788434
3, 223, 2.6032810449166432
3, 183, 4.330691012739144
3, 65, 17.689798283511355
3, 141, 7.1458799132529744
3, 113, 11.64975431214951
3, 119, 7.754425396165008
3, 229, 3.410758324923835
3, 194, 5.355908593484385
3, 110, 7.3512470318011305
3, 145, 4.1058683258712545
3, 155, 4.378799740208611
3, 118, 3.0509898544409584
3, 208, 9.166276844652506
3, 146, 11.382814143863511
3, 18, 8.849541082723022
3, 195, 2.537469291172177
3, 115, 8.119871814402453
3, 26, 8.80767084952341
3, 227, 12.888172902221658
3, 120, 9.178457792486999
3, 225, 4.330378284955918
3, 57, 12.929049056266248
3, 220, 3.7862374688389946
3, 188, 9.99396096825826
3, 168, 7.203088738737677
3, 20, 10.895456276576875
3, 156, 6.320311707157359
3, 104, 8.342230663740533
3, 59, 3.7328212685983835
3, 4, 7.979045553449397
3, 186, 4.508598364006434
3, 107, 7.586809931945717
3, 171, 0.836616380783526
3, 147, 1.4165070349472662
3, 122, 10.298416871977743
3, 216, 1.9831031651063262
3, 39, 9.505733099836851
3, 203, 6.997470462160911
3, 52, 13.998740502187323
3, 170, 2.957591216660678
3, 217, 10.742883791717246
3, 161, 13.288490627752049
3, 134, 17.21381244093475
3, 131, 17.23953886190372
3, 31, 3.9369505350742515
3, 136, 19.260124761615174
3, 24, 7.094929130177603
3, 175, 12.445357418644925
3, 198, 2.975407912029708
3, 21, 0.836616380783526
3, 111, 10.816500905234038
3, 176, 11.997614829197257
3, 49, 0.8741246277999238
3, 64, 10.43485314643918
3, 144, 5.339455800869917
3, 42, 16.703808654121502
3, 121, 8.377065022606796
3, 219, 8.377065022606796
3, 62, 0.9426117930166457
3, 48, 13.502377733639303
3, 16, 6.7101876357667445
3, 0, 5.211126291100418
3, 98, 20.785072782160977
3, 151, 3.891185619287812
3, 7, 0.9049292697065677
3, 88, 4.633449305511113
3, 192, 3.9968486690157388
3, 13, 4.4035087936934785
3, 169, 13.308330751548612
3, 215, 9.429164685072287
3, 1, 9.371524307333955
3, 108, 5.464528549529808
3, 197, 11.201311985218371
3, 51, 4.858522704145189
3, 56, 4.179672729451477
3, 36, 6.9569831346289694
3, 159, 5.224392683926139
3, 109, 8.73842495816123
3, 167, 8.81972145428295
3, 105, 2.8855090112387862
3, 6, 5.806513199033869
3, 130, 10.742883791717246
3, 72, 4.0366595573630395
3, 137, 7.085637386259982
3, 29, 10.221195295262643
3, 82, 7.203088738737677
3, 204, 13.560734496209124
3, 28, 3.483352068221179
3, 60, 6.45511554706346
3, 148, 5.358542031111888
3, 132, 14.644056632935303
3, 22, 9.865017112867504
3, 189, 7.005102813702884
3, 32, 5.784389971217311
3, 12, 4.793958583385181
3, 191, 11.213385162051605
3, 15, 6.770142023877338
3, 201, 4.111976513282479
3, 218, 4.359816483983581
3, 100, 1.8234720112421714
3, 116, 5.96344382903375
3, 95, 15.184090408279683
3, 226, 3.1246171892823997
3, 86, 13.635223410059345
3, 81, 7.2398440342106625
3, 3, 6.808969503553413
3, 78, 5.488202863004117
3, 67, 5.532355694490105
3, 41, 7.846085398159686
3, 200, 12.18624556508609
3, 205, 4.89713722533475
3, 202, 7.894428706372767
