Netid, Fid, FF_LPA
7, 2, 1.8691682969027057
7, 1, 1.0390419005886384
7, 3, 0.6368608189408116
7, 0, 1.2513288402355758
21, 3, 0.7075629907498054
21, 4, 1.1047576826470786
21, 2, 0.9058108172305044
21, 1, 0.8322327335273132
21, 5, 0.9415111697087117
21, 0, 0.9058108172305044
11, 6, 1.3201183271573202
11, 0, 1.0397139031136295
11, 4, 1.0397139031136295
11, 7, 1.3321061332544764
11, 2, 0.5671771114043993
11, 5, 1.4362361680678282
11, 8, 0.5671771114043993
11, 3, 1.8523134283905174
11, 1, 1.7526780440212557
20, 9, 1.4406657193287673
20, 12, 1.4384786360577233
20, 1, 1.4916067803238975
20, 0, 1.0502892821846466
20, 10, 1.9653149989599104
20, 4, 1.438050509601752
20, 5, 2.437529850366175
20, 7, 0.9341087559135179
20, 11, 1.0871034083360833
20, 2, 1.438050509601752
20, 3, 1.4406657193287673
20, 6, 1.2545802873822027
20, 8, 0.8119896280858151
23, 12, 1.1801595113517767
23, 0, 0.7165180920697407
23, 1, 1.7384183949902594
23, 6, 1.5276057635538358
23, 7, 0.7432026709675071
23, 8, 0.9943619369812355
23, 2, 1.1810598133696644
23, 4, 1.1801595113517767
23, 10, 1.43575163989076
23, 11, 0.8776297864338547
23, 3, 0.7165180920697407
23, 9, 0.8776297864338547
23, 5, 1.1810598133696644
33, 4, 1.5045090391806604
33, 0, 1.5030536853642418
33, 11, 1.6243043779402941
33, 8, 0.9885854082809139
33, 5, 1.9393800119592153
33, 1, 1.3170824833451078
33, 6, 0.5071768293040737
33, 9, 1.673992229355093
33, 7, 1.352325424460178
33, 12, 0.5800808551566071
33, 10, 1.3170824833451078
33, 3, 1.1032279018948148
33, 2, 1.0727652060148631
1, 10, 1.4478042494087562
1, 15, 0.6633280045467382
1, 5, 1.4478042494087562
1, 0, 0.6412560042556942
1, 2, 0.8752064461240441
1, 13, 1.5278903058145303
1, 7, 0.8828941819793096
1, 9, 2.249540714383468
1, 8, 0.8828941819793096
1, 14, 1.5811844595644304
1, 12, 0.8265598436539354
1, 4, 1.8188267755719156
1, 6, 0.8950383449855421
1, 16, 1.8529936679040635
1, 1, 0.8265598436539354
1, 3, 0.9850397102158535
1, 11, 0.9850397102158535
5, 7, 1.2580482685201997
5, 14, 0.7869187366242598
5, 15, 1.2678920992179676
5, 11, 1.1259547951144881
5, 5, 2.2003306989062055
5, 13, 2.043372678450661
5, 4, 1.0034437563433878
5, 1, 1.1630060583163093
5, 9, 1.7362664722150027
5, 12, 1.5750522034892547
5, 2, 1.8134699620974606
5, 8, 1.5595268030196268
5, 10, 1.4103876365250265
5, 16, 0.9845753664354673
5, 3, 1.0725212786255882
5, 6, 1.2678920992179676
5, 0, 1.1604012315695207
6, 18, 2.340033460834548
6, 26, 1.8313940655108274
6, 12, 1.8615955928942656
6, 15, 2.0816422492839743
6, 20, 1.3022849400316925
6, 21, 1.6378067231317341
6, 22, 1.406268548665358
6, 16, 2.5041427627898427
6, 10, 2.017136276469301
6, 4, 1.1789331851243063
6, 11, 1.736596643453481
6, 9, 0.5856638026523617
6, 13, 1.2765995437523745
6, 24, 1.19002403578011
6, 23, 2.5091380701234005
6, 25, 1.8413274312692351
6, 17, 1.5051989758714734
6, 0, 2.017136276469301
6, 8, 0.9917409975242106
6, 5, 1.6045349305695493
6, 6, 0.9528453906409025
6, 14, 1.6608792686114775
6, 1, 1.7128277573263913
6, 2, 1.3618345773044966
6, 7, 1.4880562890136217
6, 19, 1.337616818662306
6, 3, 1.5051989758714734
14, 5, 2.133060094117062
14, 25, 1.3895379421245362
14, 12, 1.3976421787176674
14, 15, 1.6326745461250387
14, 6, 1.3895379421245362
14, 11, 2.0663183696139975
14, 22, 0.9634786204790773
14, 17, 1.3895379421245362
14, 10, 2.0659895940858326
14, 13, 2.1275421943675155
14, 20, 2.1659492279193246
14, 18, 2.064957068327285
14, 9, 2.1275421943675155
14, 16, 2.1350784449074975
14, 7, 1.7345649100277771
14, 3, 2.1968094458091048
14, 2, 1.5597749953219766
14, 4, 2.292084381915269
14, 8, 1.7282923194067719
14, 19, 2.1350784449074975
14, 1, 0.8100423754663104
14, 21, 0.8180796013325102
14, 23, 1.3895379421245362
14, 26, 1.7497497877694492
14, 0, 1.2531061757531872
14, 14, 1.2531061757531872
14, 24, 1.8027872222177348
16, 14, 2.18692170795112
16, 2, 1.8663849264915546
16, 3, 1.5366356685832332
16, 20, 2.659755367336477
16, 15, 2.0173086844900845
16, 13, 1.8663849264915546
16, 6, 1.3214976354152876
16, 22, 0.7010765963878149
16, 9, 2.66064468017252
16, 1, 1.5128812173197457
16, 19, 2.6082780303229076
16, 7, 2.0975837508976416
16, 8, 2.021778080079834
16, 16, 2.2142472580950763
16, 25, 1.280021579069575
16, 23, 1.242393060086685
16, 10, 0.6036533372492161
16, 12, 1.5338393576528302
16, 26, 2.2142472580950763
16, 21, 1.3214976354152876
16, 17, 0.5596301797647094
16, 11, 1.4441490982137397
16, 0, 1.5338393576528302
16, 5, 1.1807567523828917
16, 24, 1.4655906893388848
16, 18, 1.714950877217956
16, 4, 0.6828188199381459
2, 20, 3.227414139668759
2, 21, 1.8208821453465494
2, 5, 1.3043682707334376
2, 26, 2.4425234279970436
2, 1, 0.8891228203055508
2, 16, 1.395712271443093
2, 8, 2.193468592634452
2, 9, 2.37556056591143
2, 14, 1.7243019339545338
2, 15, 2.8127193335258944
2, 17, 1.4041410694355156
2, 32, 2.4105601638862297
2, 31, 1.251528046125493
2, 22, 2.4598034510096247
2, 18, 1.7260245959135627
2, 25, 2.062300267206795
2, 23, 1.620830681299836
2, 7, 1.2433549662944987
2, 11, 1.8588807924806945
2, 0, 2.2858004506231406
2, 3, 2.4425234279970436
2, 6, 3.090777694657005
2, 24, 2.5735916416154785
2, 2, 3.032889968051844
2, 12, 2.28580045062314
2, 28, 1.2057349563134339
2, 13, 1.550497844330141
2, 4, 2.0707911975837576
2, 19, 1.4718285759244676
2, 10, 1.7260245959135627
2, 29, 2.30110258322126
2, 27, 1.171999061705013
2, 30, 1.7598557663187961
9, 21, 2.26201059716826
9, 33, 2.7234034684604786
9, 10, 0.9758218460172661
9, 27, 2.1755718910905264
9, 43, 3.2537626009444707
9, 24, 1.5979800349220117
9, 29, 1.2806469834508374
9, 4, 1.795287703332578
9, 2, 0.7571702052158947
9, 44, 0.9732269565978114
9, 15, 1.4723205061769877
9, 12, 3.4599786828755406
9, 37, 1.9742892630048248
9, 25, 2.448357666943341
9, 34, 1.9765905307677314
9, 14, 1.5548937471508224
9, 39, 1.3634330268417905
9, 7, 1.43586865886403
9, 32, 2.06861277285433
9, 22, 1.3224621633552425
9, 40, 1.6897886057989169
9, 38, 1.6369658818330577
9, 41, 2.114241992277809
9, 20, 1.5239810457967495
9, 9, 2.74734858506857
9, 16, 1.3678165876680128
9, 5, 1.5240333247218982
9, 31, 1.8814066665665257
9, 6, 0.9882290559170891
9, 0, 2.114241992277809
9, 17, 0.9572874355542782
9, 45, 2.8621562537915537
9, 11, 0.7943048409212968
9, 3, 1.1945809430863352
9, 19, 0.7167770487161007
9, 28, 1.0371096356481526
9, 13, 2.9880542293259027
9, 46, 1.6369658818330581
9, 26, 1.8352887084634781
9, 1, 0.6731190792182459
9, 8, 1.6059929608812555
9, 36, 1.9270905068640891
9, 35, 2.531384401366736
9, 42, 2.530209937253149
9, 23, 1.5724277113110081
9, 18, 2.439217574759407
9, 30, 2.544589611429023
15, 60, 3.491437157857151
15, 63, 2.316666631706448
15, 52, 1.3045218112420909
15, 25, 3.57632732089587
15, 64, 3.3012387518550264
15, 47, 2.8472214139545002
15, 30, 3.042985269169145
15, 9, 2.9713681332669486
15, 0, 2.3633064583725996
15, 56, 3.3224717836124076
15, 62, 2.5832278817705925
15, 73, 3.4453905111835064
15, 21, 2.772982316816339
15, 34, 2.7555423668380055
15, 23, 2.1382518896035014
15, 51, 2.5832278817705925
15, 45, 1.6404387700474627
15, 49, 1.7449005622049696
15, 1, 3.2396101888009436
15, 5, 2.9539171492143597
15, 35, 2.7201554449759433
15, 24, 2.3457165762119225
15, 69, 2.926069558986409
15, 2, 1.712269234310098
15, 65, 3.425608119825574
15, 39, 2.948169717986167
15, 14, 3.7152108317229153
15, 71, 1.31095167890214
15, 32, 1.8529095737019656
15, 7, 2.2120603679450115
15, 58, 2.543519018087549
15, 66, 1.1023820278122374
15, 46, 2.4435872211348646
15, 10, 3.46302575160533
15, 22, 3.691570444641732
15, 57, 1.102382027812237
15, 4, 3.0710579198459493
15, 61, 1.7589251825190306
15, 19, 1.3045218112420909
15, 11, 2.772982316816339
15, 17, 0.5278828548784078
15, 67, 3.0326570083536533
15, 13, 2.826087596455853
15, 16, 1.6091677032553757
15, 6, 3.0096135905796304
15, 42, 2.7648933645938203
15, 18, 4.054138509768904
15, 50, 2.758044254388399
15, 31, 2.772982316816339
15, 53, 0.8350356495097284
15, 44, 2.598689568803883
15, 68, 4.302506696724026
15, 41, 2.5395678181539143
15, 33, 2.464213848786923
15, 8, 0.8941486636395778
15, 28, 2.959461297793726
15, 29, 1.6435417090034434
15, 38, 2.7908209700377267
15, 3, 1.4261982249221261
15, 26, 2.345716576211923
15, 36, 2.6259563829609798
15, 27, 2.168472123968094
15, 40, 2.7075743829582786
15, 43, 3.2861192540110205
15, 70, 2.5615775594897157
15, 20, 3.1947558442567217
15, 15, 2.6303660814337673
15, 72, 2.8519617754094426
15, 37, 3.1924734683769493
15, 12, 1.9402784379086064
15, 59, 3.177591704613962
15, 55, 1.310142073196115
15, 48, 2.4320300936106154
15, 54, 3.3976842240272083
26, 40, 1.233425548188599
26, 31, 1.8918436021372564
26, 42, 3.044547969088478
26, 81, 1.6601976104692455
26, 94, 2.3415086533658327
26, 60, 2.342843179071513
26, 63, 3.183999436682581
26, 66, 1.9656020892917496
26, 83, 1.7646666810068492
26, 23, 0.6530680609686794
26, 73, 0.6860744957197505
26, 49, 1.7756380170332549
26, 27, 3.9692301345420247
26, 100, 2.633474616570834
26, 51, 0.955575063583728
26, 97, 3.126550539112966
26, 46, 1.6314433228321668
26, 20, 2.4203636987452137
26, 96, 2.871851570862246
26, 11, 2.316099186742305
26, 79, 3.6439704982198813
26, 13, 2.814066486509205
26, 35, 2.7940138763681004
26, 80, 1.7821898741936768
26, 9, 2.9196143938492374
26, 43, 2.162081774958916
26, 71, 1.1014061061606064
26, 56, 1.4964078595854264
26, 99, 1.9278515006751533
26, 22, 2.5945123155768495
26, 47, 2.003419841840451
26, 102, 2.2220585790516947
26, 39, 2.2089741049675036
26, 45, 1.9278515006751533
26, 16, 2.3740013440997814
26, 0, 2.706485857195074
26, 29, 1.5423280925584275
26, 2, 3.2273739612536203
26, 34, 2.4061339962184998
26, 72, 3.126550539112966
26, 68, 2.608640585643646
26, 58, 2.316099186742304
26, 93, 1.9077622174913704
26, 37, 2.8162674804013443
26, 24, 2.287216356180608
26, 82, 3.2685431813756596
26, 78, 2.0870161245874583
26, 14, 3.5186066170238885
26, 28, 3.3312452123646477
26, 54, 2.693466587258094
26, 21, 2.072903950660634
26, 61, 2.7093051235700303
26, 6, 3.5900495702822677
26, 44, 2.5736219131881155
26, 52, 3.953915286909729
26, 3, 1.4908630740706161
26, 25, 2.234388194839734
26, 48, 1.9757593905180002
26, 19, 3.643970498219882
26, 95, 2.349149132426601
26, 88, 2.973241621934263
26, 57, 3.3217068117274002
26, 59, 1.5738767223564056
26, 50, 2.9893494355550656
26, 62, 2.5354579961469295
26, 64, 3.3258255570629167
26, 7, 3.324709202177
26, 91, 2.5545414864651166
26, 92, 2.2601606117230393
26, 30, 0.769637144349461
26, 90, 1.659583384436637
26, 10, 2.5736219131881155
26, 38, 2.985598773418741
26, 76, 2.0870161245874583
26, 12, 2.8227331805119684
26, 33, 2.7734458879903703
26, 53, 2.162081774958916
26, 69, 1.5263654194767944
26, 98, 0.709880950543943
26, 15, 3.4422539204090628
26, 5, 1.7139403080586784
26, 75, 2.222058579051695
26, 77, 2.4525552930587695
26, 41, 1.9252417530424277
26, 85, 0.5209515689839788
26, 32, 2.913687970327007
26, 4, 1.209533349288455
26, 36, 2.1307572934202565
26, 87, 1.3639821702267136
26, 89, 2.4875211487713833
26, 101, 2.9881869700135812
26, 86, 1.9656020892917494
26, 8, 3.3247086398566994
26, 65, 2.2268125490665187
26, 1, 1.5263654194767944
26, 17, 2.785676773493011
26, 18, 2.036542019246896
26, 70, 3.4543793842139245
26, 84, 3.3247086398567007
26, 26, 2.316099186742305
26, 67, 3.3677240152615817
26, 55, 2.223962276947135
26, 74, 1.351352160855678
34, 33, 3.114474168537451
34, 59, 2.6852016902313727
34, 53, 3.2037168988142355
34, 27, 2.0171607920489083
34, 10, 0.8782892149300632
34, 37, 2.9902944186081166
34, 78, 2.204099499293477
34, 32, 3.671423658531088
34, 86, 2.2803820741118974
34, 96, 4.1440942645436785
34, 28, 2.8929134746600305
34, 101, 2.618324012796242
34, 91, 2.3959000741885794
34, 66, 2.5223348193988038
34, 46, 2.5724198694226903
34, 20, 1.4168721696077327
34, 11, 2.6183240127962426
34, 39, 3.0794904304216333
34, 76, 1.2641525923837589
34, 55, 2.6783123952527834
34, 102, 2.899983828169698
34, 92, 2.792446190559459
34, 8, 1.669766249485979
34, 57, 3.3929496263755974
34, 69, 2.624217131796594
34, 40, 4.400491631895964
34, 84, 1.112373976247096
34, 4, 3.04717005614589
34, 36, 2.572781044195379
34, 6, 2.520347766871118
34, 34, 2.53159370195726
34, 82, 3.096971280345124
34, 71, 3.1165264965202653
34, 81, 2.442619902223816
34, 54, 1.8204899903398228
34, 89, 2.098319666974597
34, 73, 1.6710311313372028
34, 5, 2.150155374699192
34, 72, 2.739552364695759
34, 48, 2.8089525981674455
34, 35, 2.1666473259115
34, 31, 2.398083571772429
34, 50, 2.5370717499323363
34, 63, 2.8559822279995313
34, 44, 2.003498253660695
34, 25, 3.114474168537453
34, 60, 1.4526340226831227
34, 88, 3.6134510711060694
34, 90, 3.034655994154862
34, 87, 1.7919859001425313
34, 21, 1.8984690268914193
34, 98, 1.9719430998392078
34, 77, 0.9246259314926929
34, 64, 2.8691567772029076
34, 1, 3.151928913965218
34, 24, 2.368991604224891
34, 13, 2.457550577460073
34, 22, 2.189764643316541
34, 9, 2.6991261379419447
34, 47, 3.1167509652772187
34, 52, 0.8672191328598702
34, 75, 2.098319666974597
34, 56, 1.6710311313372028
34, 85, 1.8204899903398228
34, 74, 2.3959000741885803
34, 3, 3.7116292126775425
34, 45, 1.36448042652538
34, 61, 1.6227153595612465
34, 62, 3.3846867580457167
34, 17, 3.6110765108906504
34, 65, 0.5615203307946237
34, 19, 2.6783123952527816
34, 16, 2.4133222603944735
34, 30, 2.464739521773484
34, 100, 3.648461467589446
34, 0, 2.855982227999531
34, 70, 2.6425713744175297
34, 42, 3.9812221676071626
34, 23, 0.9818347740732106
34, 29, 1.6697662494859793
34, 15, 2.792446190559458
34, 12, 2.613626485293011
34, 7, 1.783077917944971
34, 38, 1.7096124646258466
34, 97, 1.5447183904027098
34, 43, 2.64257137441753
34, 49, 2.235395334717317
34, 2, 2.2141161452804594
34, 58, 1.897211057125077
34, 80, 2.6991261379419447
34, 26, 1.7096124646258466
34, 18, 1.8717831681841377
34, 99, 2.528127894943722
34, 67, 2.817311726197271
34, 14, 2.48741983633128
34, 83, 0.7262119879810591
34, 95, 3.0074513786254204
34, 51, 2.8280521545593773
34, 93, 3.3313160709121536
34, 94, 2.7924461905594584
34, 41, 2.6172210637945206
34, 68, 2.4647395217734847
34, 79, 1.590335267925807
30, 85, 3.9663030758001203
30, 104, 2.7735733389355675
30, 0, 2.5138161650149793
30, 72, 1.1816683126214655
30, 41, 1.7430920636833798
30, 10, 3.2919100481833694
30, 106, 1.155942995276326
30, 77, 3.026942628056239
30, 105, 2.4505583283898957
30, 51, 4.432897995411518
30, 42, 2.4094535489301094
30, 71, 3.644281424014699
30, 78, 1.1229670221839663
30, 13, 0.6413039687670381
30, 90, 0.5821036673401186
30, 45, 1.7555341791881507
30, 14, 2.242612261968648
30, 11, 2.394643467068305
30, 4, 2.4606390181609203
30, 59, 1.369024361475379
30, 43, 1.9472546630350427
30, 95, 2.1621921815701852
30, 17, 3.29082251767067
30, 76, 0.7596152066528692
30, 48, 2.84562399197001
30, 107, 1.4483444827213
30, 54, 3.1924270432747117
30, 57, 3.1896451061475073
30, 69, 3.6154130339169916
30, 60, 1.5589119107447744
30, 16, 3.615413033916992
30, 47, 2.815595682136655
30, 19, 1.7555341791881511
30, 27, 3.766994057797055
30, 31, 3.6809788071081817
30, 81, 3.408659042132573
30, 92, 3.3257299248052172
30, 96, 3.7936833492117423
30, 75, 1.2095835646016704
30, 80, 2.9434556837715506
30, 6, 2.6215412067315293
30, 83, 3.291910048183369
30, 33, 1.849072826248585
30, 70, 2.84011125031635
30, 113, 2.172101144220024
30, 24, 2.66431051183116
30, 53, 1.4483444827213006
30, 46, 3.494758499851777
30, 30, 3.5870583545965244
30, 5, 1.764113829990878
30, 15, 1.9526211415567312
30, 2, 2.2199325511995536
30, 7, 1.8071321665232447
30, 111, 3.408659042132573
30, 89, 1.6278299911670744
30, 101, 2.8703689961126755
30, 34, 1.0777470953774229
30, 98, 0.5109968604222417
30, 110, 2.5138161650149784
30, 18, 1.8071321665232447
30, 56, 3.2796880314998793
30, 66, 1.7902664893818312
30, 73, 3.352224775739221
30, 55, 0.5109968604222417
30, 21, 3.5178081080676904
30, 29, 2.7417560113490045
30, 35, 1.8556095958745882
30, 32, 2.1780743077923477
30, 93, 3.7973435241096993
30, 87, 2.9224320606602503
30, 1, 2.5858637961253326
30, 108, 3.705355140062144
30, 63, 2.929300212326752
30, 28, 3.5901947567427057
30, 91, 3.147635843568963
30, 99, 2.3532680681301374
30, 94, 3.132639145443103
30, 40, 1.1816683126214653
30, 12, 3.1047077897562216
30, 23, 3.564495950376658
30, 102, 2.1206935967449674
30, 64, 2.362678959936852
30, 84, 2.5243343969441723
30, 68, 3.767443821774835
30, 62, 1.1388411840904469
30, 8, 2.6526570404384224
30, 36, 1.8917780812015237
30, 38, 0.7750734808851293
30, 103, 3.8842002703482335
30, 25, 2.875893556880004
30, 26, 1.755534179188151
30, 58, 2.451611208557825
30, 49, 2.0736654388332765
30, 100, 3.9523319589416412
30, 3, 1.9169004329887553
30, 50, 1.764113829990878
30, 74, 3.050983661787609
30, 65, 1.3324701795889302
30, 22, 1.4989654457879389
30, 39, 2.940922751840558
30, 67, 0.5821036673401186
30, 82, 2.8823187963727497
30, 37, 2.9942061586828546
30, 20, 1.5214459171225327
